reference_id,sections,authors,year,title,source,url
[Akram-2024],13,"Akram, B. et al.",2024,Evaluation-Driven Development of LLM Agents: A Process Model and Reference Architecture,arXiv,https://arxiv.org/html/2411.13768v2
[Akshathala-2025],"27,30","Akshathala, P. et al.",2025,Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI Systems,arXiv,https://arxiv.org/abs/2512.12791
[AgentHarm-2025],"1,3,18,25,G","Various",2025,AgentHarm: A Benchmark for Safety Evaluation of LLM Agents,ICLR,https://arxiv.org/pdf/2410.09024
[AgentAuditor-2025],"12,25,G","Various",2025,AgentAuditor: Human-Level Safety and Security Evaluation for LLM Agents,arXiv/NeurIPS,https://arxiv.org/abs/2506.00641
[AIMultiple-2025-observability],10,AIMultiple,2025,15 AI Agent Observability Tools: AgentOps Langfuse & Arize,AIMultiple,https://research.aimultiple.com/agentic-monitoring/
[AIMultiple-2026-deploy],21,AIMultiple,2026,AI Agent Deployment: Steps and Challenges in 2026,AIMultiple,https://research.aimultiple.com/agent-deployment/
[AIMultiple-2026-orchestration],17,AIMultiple,2026,Compare Top 12 LLM Orchestration Frameworks in 2026,AIMultiple,https://research.aimultiple.com/llm-orchestration/
[AIMultiple-2026-xai],29,AIMultiple,2026,Explainable AI (XAI) in 2026: Guide to enterprise-ready AI,AIMultiple,https://research.aimultiple.com/xai/
[Airia-2026],3,Airia,2026,AI Security in 2026: Prompt Injection the Lethal Trifecta and How to Defend,Airia,https://airia.com/ai-security-in-2026-prompt-injection-the-lethal-trifecta-and-how-to-defend/
[Alphamatch-2026],17,Alphamatch,2026,Top 7 Agentic AI Frameworks in 2026,Alphamatch,https://www.alphamatch.ai/blog/top-agentic-ai-frameworks-2026
[Amplework-2025],21,Amplework,2025,Build Feedback Loops in Agentic AI for Digital Growth,Amplework,https://www.amplework.com/blog/build-feedback-loops-agentic-ai-continuous-transformation/
[AnalyticsVidhya-2024],2,Analytics Vidhya,2024,Top 10 AI Agent Trends and Predictions for 2025,Analytics Vidhya,https://www.analyticsvidhya.com/blog/2024/12/ai-agent-trends/
[Anthropic-2026],19,Anthropic,2026,How enterprises are building AI agents in 2026,Claude Blog,https://claude.com/blog/how-enterprises-are-building-ai-agents-in-2026
[Arcade-2026],"1,3,12,22",Arcade.dev,2026,State of AI Agents 2026: 5 Trends Shaping Enterprise Adoption,Arcade.dev,https://blog.arcade.dev/5-takeaways-2026-state-of-ai-agents-claude
[Ardor-2025],21,Ardor,2025,7 Best Practices for Deploying AI Agents in Production,Ardor,https://ardor.cloud/blog/7-best-practices-for-deploying-ai-agents-in-production
[ArizeAI-2025-judge],"22,23",Arize AI,2025,LLM-as-a-Judge: The Complete Guide,Arize AI,https://arize.com/llm-as-a-judge/
[ArizeAI-2025-phoenix],"9,14,15",Arize AI,2025,Phoenix: AI Observability & Evaluation,GitHub,https://github.com/Arize-ai/phoenix
[ArizeAI-2025-foundry],16,Arize AI,2025,Evaluating and Improving AI Agents at Scale with Microsoft Foundry,Arize AI,https://arize.com/blog/evaluating-and-improving-ai-agents-at-scale-with-microsoft-foundry/
[ArizeAI-2025-openinference],15,Arize AI,2025,OpenInference,GitHub,https://github.com/Arize-ai/openinference
[AWS-2025-guardrails],16,AWS,2025,Implement Safeguards for Your Application with Guardrails,AWS Docs,https://docs.aws.amazon.com/bedrock/latest/userguide/agents-guardrail.html
[AWS-2026-guardrails],16,AWS,2026,Amazon Bedrock Guardrails,AWS,https://aws.amazon.com/bedrock/guardrails/
[AWS-2025-bedrock-arize],14,AWS,2025,Amazon Bedrock Agents Observability Using Arize AI,AWS Blog,https://aws.amazon.com/blogs/machine-learning/amazon-bedrock-agents-observability-using-arize-ai/
[AWS-2025-cache],20,AWS,2025,Lower cost and latency for AI using Amazon ElastiCache as a semantic cache,AWS Blog,https://aws.amazon.com/blogs/database/lower-cost-and-latency-for-ai-using-amazon-elasticache-as-a-semantic-cache-with-amazon-bedrock/
[AWS-2026-dashboard],10,AWS,2026,AI Agent performance dashboard - Amazon Connect,AWS Docs,https://docs.aws.amazon.com/connect/latest/adminguide/ai-agent-performance-dashboard.html
[AzureAI-2025-evaluate],"13,16,C",Microsoft,2025,Agent Evaluation with the Microsoft Foundry SDK,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/how-to/develop/agent-evaluate-sdk
[AzureAI-2025-metrics],16,Microsoft,2025,Unlocking the Power of Agentic Applications: New Evaluation Metrics,Microsoft DevBlogs,https://devblogs.microsoft.com/foundry/evaluation-metrics-azure-ai-foundry/
[AzureAI-2025-continuous],16,Microsoft,2025,Continuously Evaluate Your AI Agents,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/how-to/continuous-evaluation-agents
[AzureAI-2026-trace],9,Microsoft,2026,Trace and Observe AI Agents in Microsoft Foundry,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/how-to/develop/trace-agents-sdk
[AzureAI-2026-dashboard],10,Microsoft,2026,Monitor AI Agents with Microsoft Foundry Dashboard,Microsoft Learn,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/how-to/how-to-monitor-agents-dashboard
[Bain-2025],23,Bain & Company,2025,From Pilots to Payoff: Generative AI in Software Development,Bain Technology Report,https://www.bain.com/insights/from-pilots-to-payoff-generative-ai-in-software-development-technology-report-2025/
[Bhatia-2025-part1],"1,3","Bhatia, N.",2025,Part 1 — The Five Evaluation Gaps Killing Your Agentic AI in Production,Medium,https://medium.com/@nitikab23/the-five-evaluation-gaps-killing-your-agentic-ai-in-production-6796cae4a0a1
[Bhatia-2025-part2],"1,3,13,22","Bhatia, N.",2025,Part 2 — Solving the Distribution Mismatch,Medium,https://medium.com/@nitikab23/part-2-evaluating-agentic-ai-systems-the-complete-framework-55ceaf86c406
[Bhatia-2025-part3],"1,3","Bhatia, N.",2025,Part 3 — Solving Coordination Failures,Medium,https://medium.com/@nitikab23/part-3-evaluating-agentic-ai-systems-the-complete-framework-14906cf0ecff
[Bhatia-2025-part4],"1,3","Bhatia, N.",2025,Part 4 — Solving Quality Assessment at Scale,Medium,https://medium.com/@nitikab23/part-4-evaluating-agentic-ai-systems-the-complete-framework-3173374543cf
[Bhatia-2025-part5],"1,3,9","Bhatia, N.",2025,Part 5 — Solving Root Cause Diagnosis,Medium,https://medium.com/@nitikab23/part-5-evaluating-agentic-ai-systems-the-complete-framework-solving-root-cause-diagnosis-24da2980203e
[Bhatia-2025-part6],"1,2,3","Bhatia, N.",2025,Part 6 — Solving Variance and Non-Determinism,Medium,https://medium.com/@nitikab23/part-6-evaluating-agentic-ai-systems-the-complete-framework-solving-variance-and-non-determinism-8f3b5c3b1e3e
[Bhatia-2025-part7],"1,11","Bhatia, N.",2025,Part 7 — The Complete Evaluation Framework,Medium,https://medium.com/@nitikab23/part-7-evaluating-agentic-ai-systems-the-complete-framework-integration-roadmap-and-production-deployment-7a3b2c1b0d31
[Bhatia-2025-series],"19,27,30","Bhatia, N.",2025,Evaluating Agentic AI Systems: The Complete Framework (7-part series),Medium,https://medium.com/@nitikab23
[BluePrism-2026],"2,19",Blue Prism,2026,Future of AI Agents: Top Trends in 2026,Blue Prism,https://www.blueprism.com/resources/blog/future-ai-agents-trends/
[Braintrust-2025-cicd],13,Braintrust,2025,Best AI Evals Tools for CI/CD in 2025,Braintrust,https://www.braintrust.dev/articles/best-ai-evals-tools-cicd-2025
[Braintrust-2026-monitoring],"10,14",Braintrust,2026,The 4 best LLM monitoring tools in 2026,Braintrust,https://www.braintrust.dev/articles/best-llm-monitoring-tools-2026
[CIO-2026],22,CIO.com,2026,The New Org Chart: Unlocking Value with AI-Native Roles in the Agentic Era,CIO.com,https://www.cio.com/article/4060162/the-new-org-chart-unlocking-value-with-ai-native-roles-in-the-agentic-era.html
[CIS-2026],3,CIS Inc.,2026,The CTO's Strategic Guide to AI Model Drift,CIS,https://www.cisin.com/coffee-break/the-cto-s-strategic-guide-to-ai-model-drift-risk-mitigation-and-operationalizing-trust-in-enterprise-ai.html
[CloudSecAlliance-2025],23,Cloud Security Alliance,2025,Agentic AI Red Teaming Guide,CSA,https://cloudsecurityalliance.org/artifacts/agentic-ai-red-teaming-guide
[CMU-SEI-2025],23,CMU SEI,2025,The Challenges of Testing in a Non-Deterministic World,CMU SEI Blog,https://www.sei.cmu.edu/blog/the-challenges-of-testing-in-a-non-deterministic-world/
[CollinearAI-2025],23,Collinear AI,2025,Gaming the System: Goodhart's Law Exemplified in AI Leaderboard Controversy,Collinear AI Blog,https://blog.collinear.ai/p/gaming-the-system-goodharts-law-exemplified-in-ai-leaderboard-controversy
[ConfidentAI-2025-deepeval],"1,15,27,30",Confident AI,2025,DeepEval: The LLM Evaluation Framework,DeepEval,https://deepeval.com/docs/getting-started
[ConfidentAI-2025-metrics],"15,A",Confident AI,2025,AI Agent Evaluation Metrics,DeepEval,https://deepeval.com/guides/guides-ai-agent-evaluation-metrics
[ConfidentAI-2025-judge],12,Confident AI,2025,LLM-as-a-Judge Simply Explained: The Complete Guide,Confident AI Blog,https://www.confident-ai.com/blog/why-llm-as-a-judge-is-the-best-llm-evaluation-method
[ConfidentAI-2025-redteam],20,Confident AI,2025,LLM Red Teaming: The Complete Step-By-Step Guide,Confident AI Blog,https://www.confident-ai.com/blog/red-teaming-llms-a-step-by-step-guide
[ConfidentAI-2025-deepteam],11,Confident AI,2025,DeepTeam: A Framework to Red Team LLMs and LLM Systems,GitHub,https://github.com/confident-ai/deepteam
[Conversation-2025],2,The Conversation,2025,AI Agents Arrived in 2025 – Here's What Happened and the Challenges Ahead in 2026,The Conversation,https://theconversation.com/ai-agents-arrived-in-2025-heres-what-happened-and-the-challenges-ahead-in-2026-272325
[Coursera-2025-ibm],26,Coursera,2025,IBM AI Product Manager Professional Certificate,Coursera,https://www.coursera.org/professional-certificates/ibm-ai-product-manager
[Coursera-2026-agents],26,Coursera,2026,Building AI Agents and Agentic Workflows Specialization,Coursera,https://www.coursera.org/specializations/building-ai-agents-and-agentic-workflows
[CrewAI-2025],17,CrewAI,2025,Braintrust Integration,CrewAI Docs,https://docs.crewai.com/en/observability/braintrust
[DAIN-2026],3,DAIN Studios,2026,AI in 2026: Governance as a Competitive Edge,DAIN Studios,https://dainstudios.com/insights/ai-in-2026-governance-as-a-competitive-edge/
[Datadog-2024-semconv],9,Datadog,2024,Datadog LLM Observability supports OpenTelemetry GenAI Semantic Conventions,Datadog Blog,https://www.datadoghq.com/blog/llm-otel-semantic-convention/
[Datadog-2025-anomaly],10,Datadog,2025,Anomaly detection predictive correlations: Using AI-assisted metrics monitoring,Datadog Blog,https://www.datadoghq.com/blog/ai-powered-metrics-monitoring/
[Davies-2026],15,"Davies, D.",2026,The Best LLM Evaluation Tools of 2026,Medium,https://medium.com/online-inference/the-best-llm-evaluation-tools-of-2026-40fd9b654dce
[Debevoise-2025],23,Debevoise Data Blog,2025,FINRA's 2026 Regulatory Oversight Report: AI and Agent-Based Risks,Debevoise,https://www.debevoisedatablog.com/2025/12/11/finras-2026-regulatory-oversight-report-continued-focus-on-generative-ai-and-emerging-agent-based-risks/
[Decoder-2025],23,The Decoder,2025,Every Leading AI Agent Failed at Least One Security Test During Red Teaming,The Decoder,https://the-decoder.com/every-leading-ai-agent-failed-at-least-one-security-test-during-a-massive-red-teaming-competition/
[Deepchecks-2025],1,Deepchecks,2025,Evaluating Agentic AI Systems in Production,Deepchecks,https://www.deepchecks.com/evaluating-agentic-ai-systems-production/
[DeepLearningAI-2025-agents],26,DeepLearning.AI,2025,Evaluating AI Agents,DeepLearning.AI,https://www.deeplearning.ai/short-courses/evaluating-ai-agents/
[DeepLearningAI-2025-debug],26,DeepLearning.AI,2025,Evaluating and Debugging Generative AI,DeepLearning.AI,https://www.deeplearning.ai/short-courses/evaluating-debugging-generative-ai/
[Deloitte-2025-agents],25,Deloitte,2025,AI Agents and Autonomous AI,Deloitte Tech Trends,https://www.deloitte.com/us/en/insights/topics/technology-management/tech-trends/2025/tech-trends-ai-agents-and-autonomous-ai.html
[Deloitte-2026-strategy],"2,3,10,22,25",Deloitte,2026,Tech Trends 2026: Agentic AI Strategy,Deloitte,https://www.deloitte.com/us/en/insights/topics/technology-management/tech-trends/2026/agentic-ai-strategy.html
[Deloitte-2026-cyber],29,Deloitte,2026,The AI dilemma: Securing and leveraging AI for cyber defense,Deloitte Tech Trends,https://www.deloitte.com/us/en/insights/topics/technology-management/tech-trends/2026/using-ai-in-cybersecurity.html
[Deloitte-2026-orchestration],2,Deloitte,2026,Unlocking Exponential Value with AI Agent Orchestration,Deloitte,https://www.deloitte.com/us/en/insights/industry/technology/technology-media-and-telecom-predictions/2026/ai-agent-orchestration.html
[Deloitte-2026-press],2,Deloitte,2026,AI Comes of Age: Deloitte's 17th Annual Tech Trends Report,Deloitte Press,https://www.deloitte.com/us/en/about/press-room/deloitte-tech-trends-2026.html
[DEVCommunity-2025],13,DEV Community,2025,A Practical Guide to Integrating AI Evals into Your CI/CD Pipeline,DEV.to,https://dev.to/kuldeep_paul/a-practical-guide-to-integrating-ai-evals-into-your-cicd-pipeline-3mlb
[DevOps-2025-sre],23,DevOps.com,2025,Agentic AI in Observability Platforms: Empowering Autonomous SRE,DevOps.com,https://devops.com/agentic-ai-in-observability-platforms-empowering-autonomous-sre/
[DevOps-2026],13,DevOps.com,2026,Predict 2026: Why AI Will Force DevOps to Reinvent Itself,DevOps.com,https://devops.com/predict-2026-why-ai-will-force-devops-to-reinvent-itself/
[DigitalInfoWorld-2025],2,Digital Information World,2025,AI Agents Arrived in 2025 – Here's What Happened,Digital Information World,https://www.digitalinformationworld.com/2025/12/ai-agents-arrived-in-2025-heres-what.html
[Dynatrace-2025-bedrock],16,Dynatrace,2025,Announcing Amazon Bedrock AgentCore Agent Observability,Dynatrace Blog,https://www.dynatrace.com/news/blog/announcing-amazon-bedrock-agentcore-agent-observability/
[Dynatrace-2025-predictions],23,Dynatrace,2025,Six Observability Predictions for 2026,Dynatrace Blog,https://www.dynatrace.com/news/blog/six-observability-predictions-for-2026/
[Edstellar-2026],3,Edstellar,2026,AI Agents: Reliability Challenges & Proven Solutions [2026],Edstellar,https://www.edstellar.com/blog/ai-agent-reliability-challenges
[eSecurity-2026],3,eSecurity Planet,2026,AI Agent Attacks in Q4 2025 Signal New Risks for 2026,eSecurity Planet,https://www.esecurityplanet.com/artificial-intelligence/ai-agent-attacks-in-q4-2025-signal-new-risks-for-2026/
[ETHZurich-2024],"3,18,G",ETH Zurich,2024,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks,NeurIPS/GitHub,https://github.com/ethz-spylab/agentdojo
[EUAIAct-2024],"29,30",European Commission,2024,EU AI Act - Regulatory Framework for AI,EU,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai
[EUAIAct-2026],29,EU Artificial Intelligence Act,2026,EU AI Act News 2026: Compliance Requirements & Deadlines,EU AI Act,https://artificialintelligenceact.eu/
[EvidentlyAI-2025-course],26,Evidently AI,2025,LLM evaluations for AI product teams,Evidently AI,https://www.evidentlyai.com/llm-evaluations-course
[EvidentlyAI-2025-builders],26,Evidently AI,2025,LLM evaluations for AI builders,Evidently AI,https://www.evidentlyai.com/courses
[EvidentlyAI-2025-benchmarks],18,Evidently AI,2025,10 AI Agent Benchmarks,Evidently AI Blog,https://www.evidentlyai.com/blog/ai-agent-benchmarks
[EvidentlyAI-2026-synthetic],11,Evidently AI,2026,How to Create LLM Test Datasets with Synthetic Data,Evidently AI,https://www.evidentlyai.com/llm-guide/llm-test-dataset-synthetic-data
[EvidentlyAI-2026-judge],12,Evidently AI,2026,LLM-as-a-Judge: A Complete Guide to Using LLMs for Evaluations,Evidently AI,https://www.evidentlyai.com/llm-guide/llm-as-a-judge
[EvilMartians-2025],10,Evil Martians,2025,Debug AI fast with open source library to visualize agent traces,Evil Martians,https://evilmartians.com/chronicles/debug-ai-fast-agent-prism-open-source-library-visualize-agent-traces
[FinalRoundAI-2025],23,Final Round AI,2025,Vibe Coding: Erasing Software Developers' Skills,Final Round AI,https://www.finalroundai.com/blog/vibe-coding-erasing-software-developers-skills
[Fullstack-2026],2,Fullstack,2026,Agentic AI vs Traditional AI: Key Differences,Fullstack,https://www.fullstack.com/labs/resources/blog/agentic-ai-vs-traditional-ai-what-sets-ai-agents-apart
[FutureAGI-2025],24,Future AGI,2025,RAG Evaluation Metrics 2025,Future AGI,https://futureagi.com/blogs/rag-evaluation-metrics-2025
[FutureSociety-2025],30,The Future Society,2025,How AI Agents Are Governed Under the EU AI Act,The Future Society,https://thefuturesociety.org/aiagentsintheeu/
[G2-2026-report],"1,2,7,22,23,25,27",G2,2026,G2's Enterprise AI Agents Report: Industry Outlook for 2026,G2,https://learn.g2.com/enterprise-ai-agents-report
[G2-2026-predictions],"1,2",G2,2026,5 Bold Predictions on the Rise of Agentic AI and the $30B Orchestration Boom,G2,https://learn.g2.com/2026-predictions-agentic-ai
[Galileo-2025-metrics],"10,13,27,A",Galileo AI,2025,Four New Agent Evaluation Metrics,Galileo AI Blog,https://galileo.ai/blog/four-new-agent-evaluation-metrics
[Galileo-2025-anomaly],10,Galileo AI,2025,Real-Time Anomaly Detection for Multi-Agent AI Systems,Galileo AI Blog,https://galileo.ai/blog/real-time-anomaly-detection-multi-agent-ai
[Galileo-2025-observability],11,Galileo AI,2025,The Guide to LLM Observability,Galileo AI Blog,https://www.galileo.ai/blog/the-guide-to-llm-observability
[Galileo-2025-test],20,Galileo AI,2025,How to Test AI Agents Effectively,Galileo AI Learn,https://galileo.ai/learn/test-ai-agents
[GAO-2025],24,GAO,2025,AI in Financial Services Report (GAO-25-107197),GAO,https://www.gao.gov/products/gao-25-107197
[Gartner-2025-40percent],"1,2,22,25,29,30",Gartner,2025,Gartner Predicts 40% of Enterprise Apps Will Feature Task-Specific AI Agents by 2026,Gartner Press,https://www.gartner.com/en/newsroom/press-releases/2025-08-26-gartner-predicts-40-percent-of-enterprise-apps-will-feature-task-specific-ai-agents-by-2026
[Gartner-2025-canceled],"25,29,30",Gartner,2025,Gartner Predicts Over 40% of Agentic AI Projects Will Be Canceled by End of 2027,Gartner Press,https://www.gartner.com/en/newsroom/press-releases/2025-06-25-gartner-predicts-over-40-percent-of-agentic-ai-projects-will-be-canceled-by-end-of-2027
[Gartner-2025-agentwashing],25,Gartner,2025,Agentwashing and the Real State of Agentic AI,Gartner Research,
[Gartner-2025-strategic],"25,29",Gartner,2025,Strategic Predictions for 2026,Gartner,https://www.gartner.com/en/articles/strategic-predictions-for-2026
[GoogleCloud-2025-eval],"11,16",Google Cloud,2025,Evaluate Gen AI Agents,Vertex AI Docs,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/models/evaluation-agents
[GoogleCloud-2025-intro],"11,16",Google Cloud,2025,Introducing Agent Evaluation in Vertex AI Gen AI Evaluation Service,Google Cloud Blog,https://cloud.google.com/blog/products/ai-machine-learning/introducing-agent-evaluation-in-vertex-ai-gen-ai-evaluation-service
[GoogleCloud-2025-governance],16,Google Cloud,2025,Enhanced Tool Governance in Vertex AI Agent Builder,Google Cloud Blog,https://cloud.google.com/blog/products/ai-machine-learning/new-enhanced-tool-governance-in-vertex-ai-agent-builder
[GoogleCloud-2025-trust],"22,23",Google Cloud,2025,AI Grew Up and Got a Job: Lessons from 2025 on Agents and Trust,Google Cloud Transform,https://cloud.google.com/transform/ai-grew-up-and-got-a-job-lessons-from-2025-on-agents-and-trust
[GoogleCloud-2026-trends],"25,27",Google Cloud,2026,AI Agent Trends 2026 Report,Google Cloud,https://cloud.google.com/resources/content/ai-agent-trends-2026
[GoogleCloud-2026-builder],16,Google Cloud,2026,Vertex AI Agent Builder Overview,Google Cloud Docs,https://docs.cloud.google.com/agent-builder/overview
[GoogleDeepMind-2025],24,Google DeepMind,2025,Introducing CodeMender: An AI Agent for Code Security,DeepMind Blog,https://deepmind.google/blog/introducing-codemender-an-ai-agent-for-code-security/
[Grafana-2025],15,Grafana,2025,Grafana Tempo,Grafana,https://grafana.com/oss/tempo/
[Gravitee-2025],21,Gravitee,2025,Canary Releases: A Comprehensive Guide to Safer Deployments,Gravitee Blog,https://www.gravitee.io/blog/comprehensive-guide-to-canary-releases
[GridDynamics-2025],24,Grid Dynamics,2025,Agentic AI Regulatory Compliance Strategy,Grid Dynamics Blog,https://www.griddynamics.com/blog/agentic-ai-regulatory-compliance-strategy
[HammingAI-2025],24,Hamming AI,2025,Guide to AI Voice Agents Quality Assurance,Hamming AI,https://hamming.ai/resources/guide-to-ai-voice-agents-quality-assurance
[HBR-2025],29,Harvard Business Review,2025,6 Cybersecurity Predictions for the AI Economy in 2026,HBR/Palo Alto Networks,https://hbr.org/sponsored/2025/12/6-cybersecurity-predictions-for-the-ai-economy-in-2026
[Horovits-2025],9,"Horovits, D.",2025,OpenTelemetry for GenAI and the OpenLLMetry project,Medium,https://horovits.medium.com/opentelemetry-for-genai-and-the-openllmetry-project-81b9cea6a771
[IAPP-2026],3,IAPP,2026,AI Governance in the Agentic Era,IAPP,https://iapp.org/resources/article/ai-governance-in-the-agentic-era
[IBM-2026-governance],3,IBM,2026,AI Agent Governance: Big Challenges Big Opportunities,IBM Think,https://www.ibm.com/think/insights/ai-agent-governance
[IBM-2026-trends],29,IBM,2026,The trends that will shape AI and tech in 2026,IBM Think,https://www.ibm.com/think/news/ai-tech-trends-predictions-2026
[IEEE-2025],11,IEEE Xplore,2025,AI-Powered Multi-Agent Framework for Automated Unit Test Case Generation,IEEE,https://ieeexplore.ieee.org/document/10923987/
[Index-2026],"1,2,22",Index.dev,2026,50+ Key AI Agent Statistics and Adoption Trends in 2025,Index.dev,https://www.index.dev/blog/ai-agents-statistics
[InfoWorld-2025],16,InfoWorld,2025,Google Boosts Vertex AI Agent Builder with New Observability and Deployment Tools,InfoWorld,https://www.infoworld.com/article/4085736/google-boosts-vertex-ai-agent-builder-with-new-observability-and-deployment-tools.html
[Innobu-2026],30,Innobu,2026,AI 2027: Why Tech Elite's Bold Predictions Could Soon Be Reality,Innobu,https://www.innobu.com/en/articles/ai-2027-superintelligence-scenario-analysis
[InvariantLabs-2024],18,Invariant Labs,2024,AgentDojo: Jointly Evaluate Security and Utility of AI Agents,Invariant Labs Blog,https://invariantlabs.ai/blog/agentdojo
[Jaeger-2025],15,Jaeger,2025,Jaeger: Open Source Distributed Tracing,Jaeger,https://www.jaegertracing.io/
[Jung-2024],"1,12,27","Jung, J. et al.",2024,Systematic Biases in LLM-as-Judge Evaluation,arXiv,https://arxiv.org/abs/2404.07143
[Kaspersky-2025],23,Kaspersky,2025,Vibe Coding 2025 Risks,Kaspersky Blog,https://www.kaspersky.com/blog/vibe-coding-2025-risks/54584/
[Kellton-2026],2,Kellton,2026,Agentic AI Trends 2026: Future of Agentic AI Innovations,Kellton Blog,https://www.kellton.com/kellton-tech-blog/agentic-ai-trends-2026
[KenHuang-2026],30,Ken Huang,2026,My Top 10 Predictions for Agentic AI in 2026,Substack,https://kenhuangus.substack.com/p/my-top-10-predictions-for-agentic
[Kinde-2025],12,Kinde,2025,LLM-as-a-Judge Done Right: Calibrating Guarding & Debiasing Your Evaluators,Kinde Learn,https://kinde.com/learn/ai-for-software-engineering/best-practice/llm-as-a-judge-done-right-calibrating-guarding-debiasing-your-evaluators/
[Kolekar-2026],17,"Kolekar, R.",2026,Production RAG in 2026: LangChain vs LlamaIndex,Rahul Kolekar Blog,https://rahulkolekar.com/production-rag-in-2026-langchain-vs-llamaindex/
[Kubiya-2025],21,Kubiya,2025,AI Agent Deployment: Frameworks & Best Practices,Kubiya Blog,https://www.kubiya.ai/blog/ai-agent-deployment
[LabelYourData-2026],12,Label Your Data,2026,LLM as a Judge: A 2026 Guide to Automated Model Assessment,Label Your Data,https://labelyourdata.com/articles/llm-as-a-judge
[LakeFS-2026],14,LakeFS,2026,LLM Observability Tools: 2026 Comparison,LakeFS Blog,https://lakefs.io/blog/llm-observability-tools/
[Lakera-2026],3,Lakera,2026,Indirect Prompt Injection: The Hidden Threat Breaking Modern AI Systems,Lakera Blog,https://www.lakera.ai/blog/indirect-prompt-injection
[LangChain-2025-state],"1,2,3,6,9,10,12,13,17,19,21,22,23,27,28,29,30,A",LangChain,2025,State of AI Agents,LangChain,https://www.langchain.com/state-of-agent-engineering
[LangChain-2025-langsmith],"14,17",LangChain,2025,LangSmith Observability,LangChain,https://www.langchain.com/langsmith/observability
[LangChain-2025-community],27,LangChain,2025,The LangChain Community,LangChain,https://www.langchain.com/community
[LangChain-2025-interrupt],27,LangChain,2025,Interrupt 2025 Recap,LangChain Blog,https://blog.langchain.com/interrupt-2025-recap/
[Langfuse-2025-docs],"1,14,27,B",Langfuse,2025,Langfuse: Open Source LLM Engineering Platform,Langfuse,https://langfuse.com/
[Langfuse-2025-otel],14,Langfuse,2025,Open Source LLM Observability via OpenTelemetry,Langfuse,https://langfuse.com/integrations/native/opentelemetry
[Langfuse-2025-llamaindex],17,Langfuse,2025,Observability for LlamaIndex with Langfuse Integration,Langfuse,https://langfuse.com/integrations/frameworks/llamaindex
[LevelBlue-2025],29,LevelBlue,2025,Predictions 2026: Surge in Agentic AI for Attacks and Defenses,LevelBlue Blog,https://levelblue.com/blogs/levelblue-blog/predictions-2026-surge-in-agentic-ai-for-attacks-and-defenses/
[LevoAI-2025],20,Levo AI,2025,What is AI Red Teaming: Examples Tools & Best Practices,Levo AI,https://www.levo.ai/resources/blogs/ai-red-teaming
